구분,티커,종목명,신호일,진입일,진입가,현재가/청산가,청산일,모멘텀(%),수급빈집,우선순위(%),패턴,상태,손절가,익절가,손익률(%),보유일수
익절,032830.KS,삼성생명,2026-01-12,2026-01-13,159000.0,239500.0,2026-02-23,,,,,,,,50.63,
익절,071050.KS,한국금융지주,2026-01-30,2026-02-02,204692.82340934683,278247.0,2026-02-23,,,,,,,,35.93,
익절,327260.KS,RF머트리얼즈,2026-01-30,2026-02-02,32500.0,46550.0,2026-02-23,,,,,,,,43.23,
익절,009290.KS,광동제약,2026-02-11,2026-02-12,6200.0,11750.0,2026-02-23,,,,,,,,89.52,
익절,005940.KS,NH투자증권,2026-01-30,2026-02-02,26950.0,40350.0,2026-02-20,,,,,,,,49.72,
익절,016360.KS,삼성증권,2026-01-13,2026-01-14,78400.0,115000.0,2026-02-20,,,,,,,,46.68,
익절,003530.KS,한화투자증권,2026-02-04,2026-02-05,6590.0,9655.0,2026-02-20,,,,,,,,46.51,
익절,030610.KS,교보증권,2026-01-27,2026-01-28,11770.0,17235.0,2026-02-20,,,,,,,,46.43,
익절,001500.KS,현대차증권,2026-01-30,2026-02-02,9370.0,14070.0,2026-02-20,,,,,,,,50.16,
익절,016610.KS,DB증권,2026-01-09,2026-01-12,12050.0,18015.0,2026-02-20,,,,,,,,49.5,
익절,104830.KS,원익머트리얼즈,2026-01-12,2026-01-13,33100.0,45200.0,2026-02-20,,,,,,,,36.56,
익절,001200.KS,유진투자증권,2026-02-05,2026-02-06,4040.0,6280.0,2026-02-20,,,,,,,,55.45,
익절,017670.KS,SK텔레콤,2026-01-26,2026-01-27,63300.0,82350.0,2026-02-19,,,,,,,,30.09,
익절,088350.KS,한화생명,2026-01-30,2026-02-02,3490.0,5100.0,2026-02-19,,,,,,,,46.13,
익절,003540.KS,대신증권,2026-02-05,2026-02-06,29600.0,44575.0,2026-02-19,,,,,,,,50.59,
익절,057050.KS,현대홈쇼핑,2026-02-05,2026-02-06,58600.0,79650.0,2026-02-19,,,,,,,,35.92,
익절,130660.KS,한전산업,2026-01-27,2026-01-28,14800.0,20250.0,2026-02-12,,,,,,,,36.82,
익절,023530.KS,롯데쇼핑,2026-01-29,2026-01-30,79400.0,115550.0,2026-02-11,,,,,,,,45.53,
익절,010060.KS,OCI홀딩스,2026-01-30,2026-02-02,113000.0,151600.0,2026-02-10,,,,,,,,34.16,
익절,232140.KS,와이씨,2026-01-13,2026-01-14,15080.0,22700.0,2026-02-10,,,,,,,,50.53,
손절,160190.KS,하이젠알앤엠,2026-01-28,2026-01-29,86400.0,67900.0,2026-02-09,,,,,,,,-21.41,
익절,039490.KS,키움증권,2026-01-13,2026-01-14,316500.0,428750.0,2026-02-02,,,,,,,,35.47,
익절,00680K.KS,미래에셋증권2우B,2026-01-05,2026-01-06,11650.0,15850.0,2026-02-02,,,,,,,,36.05,
익절,006800.KS,미래에셋증권,2026-01-13,2026-01-14,28400.0,42100.0,2026-01-30,,,,,,,,48.24,
익절,001720.KS,신영증권,2026-01-08,2026-01-09,131000.0,176550.0,2026-01-30,,,,,,,,34.77,
