구분,티커,종목명,신호일,진입일,진입가,현재가/청산가,청산일,모멘텀(%),패턴,상태,손절가,익절가,손익률(%),보유일수
손절,053300.KS,한국정보인증,2026-01-23,2026-01-26,6900.0,5860.0,2026-03-05,,,,,,-15.07,
손절,034810.KS,해성산업,2026-02-25,2026-02-26,8870.0,7640.0,2026-03-05,,,,,,-13.87,
손절,285490.KS,노바텍,2026-01-08,2026-01-09,25000.0,22975.0,2026-03-05,,,,,,-8.1,
손절,010955.KS,S-Oil우,2026-03-03,2026-03-04,74000.0,57200.0,2026-03-05,,,,,,-22.7,
손절,297090.KS,씨에스베어링,2026-02-19,2026-02-20,6910.0,6065.0,2026-03-05,,,,,,-12.23,
손절,237880.KS,클리오,2026-02-09,2026-02-10,13510.0,11695.0,2026-03-05,,,,,,-13.43,
손절,271980.KS,제일약품,2026-02-24,2026-02-25,16820.0,14510.0,2026-03-05,,,,,,-13.73,
손절,032620.KS,유비케어,2026-02-04,2026-02-05,4325.0,3812.0,2026-03-05,,,,,,-11.85,
손절,078150.KS,HB테크놀러지,2026-02-09,2026-02-10,2245.0,1906.0,2026-03-05,,,,,,-15.1,
손절,001780.KS,알루코,2026-01-19,2026-01-20,2280.0,2088.0,2026-03-05,,,,,,-8.44,
손절,102120.KS,어보브반도체,2026-02-26,2026-02-27,12900.0,11140.0,2026-03-05,,,,,,-13.64,
